line,category,amount_usd,notes
1,headquarters lease,4200.00,monthly
2,minion payroll,9800.00,30 active minions
3,pizza tuesdays,260.00,third tuesday only
4,shark food,1100.00,tank-room
5,disguise procurement,420.00,mustaches included
6,laundering fees,2800.00,via the lemonade stand front
7,lab coats,540.00,quarterly
8,laser pointers,84.00,bulk discount
9,broom closet upkeep,75.00,hat ceremonies
10,council retreats,3300.00,annual
11,volcano financing,inquire,pending
12,coffee swap labels,690.00,phase 2
13,duck stamping ink,180.00,phase 1
14,duck procurement,8420.00,phase 1
15,intern replacement fund,ongoing,no comment
